,level_0,level_1,level_2,no_tasks,no_households,penalty_weight,cost_function_type,max_demand initial,max_demand final,max_demand reduction,PAR initial,PAR final,PAR reduction,objective initial,objective final,objective reduction,cost initial,cost final,cost reduction,Average run_time
0,0,10,heuristic,5,10,1,piece-wise,19000,19000.0,0.00%,4.17,4.17,0.00%,3449691.8,3058926.0,11.30%,3449691.8,3058916.0,11.30%,0.0
1,0,10,heuristic_fw,5,10,1,piece-wise,19000,11998.882967752636,36.80%,4.17,2.64,36.70%,3449691.8,3063008.2193939947,11.20%,3449691.8,3063005.09,11.20%,0.001
2,0,50,heuristic,5,50,1,piece-wise,41534,54742.0,-31.80%,1.92,2.53,-31.80%,16362806.1,14580642.0,10.90%,16362806.1,14579982.0,10.90%,0.001
3,0,50,heuristic_fw,5,50,1,piece-wise,41534,26629.88599226727,35.90%,1.92,1.23,35.90%,16362806.1,14612563.31269671,10.70%,16362806.1,14612521.81,10.70%,0.002
4,0,100,heuristic,5,100,1,piece-wise,116459,109427.0,6.00%,2.77,2.6,6.10%,30431914.1,28246527.0,7.20%,30431914.1,28246302.0,7.20%,0.004
5,0,100,heuristic_fw,5,100,1,piece-wise,116459,70759.74434572324,39.20%,2.77,1.68,39.40%,30431914.1,28271387.604256,7.10%,30431914.1,28271333.14,7.10%,0.002
6,1,10,heuristic,5,10,1,piece-wise,17000,19200.0,-12.90%,3.97,4.48,-12.80%,3164686.0,2879126.0,9.00%,3164686.0,2879100.0,9.00%,0.001
7,1,10,heuristic_fw,5,10,1,piece-wise,17000,10713.854641793223,37.00%,3.97,2.5,37.00%,3164686.0,2881341.716445536,9.00%,3164686.0,2881340.15,9.00%,0.001
8,1,50,heuristic,5,50,1,piece-wise,55785,48885.0,12.40%,3.04,2.67,12.20%,13373762.1,12314664.0,7.90%,13373762.1,12314568.0,7.90%,0.001
9,1,50,heuristic_fw,5,50,1,piece-wise,55785,32692.397747290997,41.40%,3.04,1.78,41.40%,13373762.1,12320900.75593,7.90%,13373762.1,12320658.66,7.90%,0.003
10,1,100,heuristic,5,100,1,piece-wise,72514,119427.0,-64.70%,1.84,3.02,-64.10%,30720854.1,26549605.0,13.60%,30720854.1,26547797.0,13.60%,0.004
11,1,100,heuristic_fw,5,100,1,piece-wise,72514,46119.3711063824,36.40%,1.84,1.17,36.40%,30720854.1,26646140.069885712,13.30%,30720854.1,26646114.6,13.30%,0.001
