no_households,no_tasks,algorithm,penalty_weight,cost_function_type,repeat,average_run_time_per_iteration,no_iterations,max_demand initial,max_demand final,max_demand reduction,PAR initial,PAR final,PAR reduction,objective initial,objective final,objective reduction,cost initial,cost final,cost reduction
2000,5,heuristic,1,piece-wise,2.0,0.7093999999999999,26.2,1058777.2,13417047.4,-11.6822,1.3,16.424,-11.703599999999998,644224773.0600001,5516464093.259999,-7.494,644224773.0600001,5514843254.459999,-7.4914000000000005
2000,5,heuristic_fw,1,piece-wise,2.0,0.0036,26.2,1058777.2,853589.0209703036,0.193,1.3,1.048,0.1924,644224773.0600001,578785108.9621642,0.0998,644224773.0600001,578783849.4319999,0.0998
2000,5,optimal,1,piece-wise,2.0,724.4498000000001,25.2,1058777.2,17549254.0,-15.573399999999998,1.3,21.552,-15.602799999999998,644224773.0600001,6231175909.1,-8.6674,644224773.0600001,6229625741.7,-8.6648
2000,5,optimal_fw,1,piece-wise,2.0,0.004,25.2,1058777.2,855582.9111247852,0.191,1.3,1.052,0.1894,644224773.0600001,578790630.574268,0.0996,644224773.0600001,578788871.2959999,0.0996
4000,5,heuristic,1,piece-wise,2.0,1.6163999999999998,27.0,1992965.2,36498702.8,-17.368000000000002,1.234,22.609999999999996,-17.374599999999997,1345625629.48,13331043709.84,-8.9292,1345625629.48,13326703658.24,-8.926
4000,5,heuristic_fw,1,piece-wise,2.0,0.0032,27.0,1992965.2,1695424.2044626405,0.14900000000000002,1.234,1.0500000000000003,0.14840000000000003,1345625629.48,1187343721.6221693,0.11699999999999999,1345625629.48,1187340652.082,0.11699999999999999
4000,5,optimal,1,piece-wise,2.0,1517.1388,25.0,1992965.2,50213884.4,-24.218600000000002,1.234,31.1,-24.2256,1345625629.48,15489919403.48,-10.5342,1345625629.48,15484556142.279999,-10.5302
4000,5,optimal_fw,1,piece-wise,2.0,0.0038,25.0,1992965.2,1705394.7643647783,0.1436,1.234,1.056,0.1434,1345625629.48,1188168103.6354225,0.1162,1345625629.48,1188163792.31,0.1162
6000,5,heuristic,1,piece-wise,2.0,2.8988,25.0,2976450.0,52950680.8,-16.7798,1.2159999999999997,21.656,-16.7864,2025955624.58,21027511847.22,-9.3898,2025955624.58,21022025317.22,-9.387200000000002
6000,5,heuristic_fw,1,piece-wise,2.0,0.0036,25.0,2976450.0,2592675.608460919,0.1288,1.2159999999999997,1.058,0.1298,2025955624.58,1813746338.7264411,0.1046,2025955624.58,1813739457.058,0.1046
6000,5,optimal,1,piece-wise,2.0,2274.4294,22.4,2976450.0,62142928.4,-19.814600000000002,1.2159999999999997,25.395999999999997,-19.8308,2025955624.58,22441117253.160004,-10.091400000000002,2025955624.58,22434285441.560005,-10.088000000000001
6000,5,optimal_fw,1,piece-wise,2.0,0.004200000000000001,22.4,2976450.0,2606254.2225733562,0.1244,1.2159999999999997,1.068,0.12179999999999999,2025955624.58,1814587209.1142929,0.10400000000000001,2025955624.58,1814580684.4599998,0.10400000000000001
8000,5,heuristic,1,piece-wise,2.0,3.5556000000000005,24.6,3922153.8,60393206.2,-14.439400000000001,1.214,18.732000000000003,-14.460399999999998,2726015323.02,27024710200.140003,-8.939400000000001,2726015323.02,27017131300.340004,-8.9366
8000,5,heuristic_fw,1,piece-wise,2.0,0.0036,24.6,3922153.8,3410143.95831688,0.1298,1.214,1.056,0.1292,2726015323.02,2419454698.9950304,0.1112,2726015323.02,2419447581.316,0.1112
8000,5,optimal,1,piece-wise,2.0,2969.4363999999996,28.2,3922153.8,78742825.6,-19.0856,1.214,24.386000000000003,-19.1114,2726015323.02,29640183236.440002,-9.9176,2726015323.02,29633629085.640003,-9.9148
8000,5,optimal_fw,1,piece-wise,2.0,0.0032,28.2,3922153.8,3385981.916384732,0.1356,1.214,1.048,0.1358,2726015323.02,2419043446.273983,0.11179999999999998,2726015323.02,2419037032.418,0.11179999999999998
10000,5,heuristic,1,piece-wise,2.0,4.5964,24.8,4980622.4,77192304.2,-14.390600000000001,1.23,19.034,-14.3546,3363647184.5199995,34145317051.54,-9.1994,3363647184.5199995,34138837862.140003,-9.1972
10000,5,heuristic_fw,1,piece-wise,2.0,0.0032,24.8,4980622.4,4318656.756143327,0.1326,1.23,1.062,0.1362,3363647184.5199995,3004769679.9701633,0.10540000000000001,3363647184.5199995,3004761217.0420003,0.10540000000000001
10000,5,optimal,1,piece-wise,2.0,3969.8226000000004,24.0,4980622.4,90696354.4,-17.032400000000003,1.23,22.359999999999996,-16.988999999999997,3363647184.5199995,36507499869.06,-9.9278,3363647184.5199995,36498370079.06,-9.9252
10000,5,optimal_fw,1,piece-wise,2.0,0.0038,24.0,4980622.4,4319318.828889188,0.1326,1.23,1.062,0.13620000000000002,3363647184.5199995,3004260242.236145,0.10540000000000001,3363647184.5199995,3004254552.05,0.10540000000000001
